filename,fqn,namespace,name,current_support_level,new_support_level,scenario_file,scenario_plugin_type,matched_line
lib/ansible/module_utils/gce.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/gcp.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/gcp_utils.py,google.cloud,google,cloud,community,community,scenarios/nwo/google.yml,module_utils,gcp_utils.py
lib/ansible/module_utils/gitlab.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/hcloud.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/heroku.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/hetzner.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/hwc_utils.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/ibm_sa_utils.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/identity/keycloak/keycloak.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/infinibox.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/influxdb.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/ipa.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/ismount.py,community.general,community,general,core,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/json_utils.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,json_utils.py
lib/ansible/module_utils/k8s/common.py,f5networks.f5_modules,f5networks,f5_modules,community,community,scenarios/nwo/f5networks.yml,module_utils,k8s/common.py
lib/ansible/module_utils/k8s/raw.py,base,ansible,base,community,core,scenarios/nwo/ansible.yml,module_utils,k8s/raw.py
lib/ansible/module_utils/k8s/scale.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/known_hosts.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/kubevirt.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/ldap.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/linode.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/lxd.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/manageiq.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/memset.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/mysql.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/net_tools/netbox/netbox_utils.py,netbox_community.ansible_modules,netbox_community,ansible_modules,community,community,scenarios/nwo/netbox_community.yml,module_utils,net_tools/netbox/netbox_utils.py
lib/ansible/module_utils/net_tools/nios/api.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,net_tools/nios/api.py
lib/ansible/module_utils/netapp.py,netapp.aws,netapp,aws,community,community,scenarios/nwo/netapp.yml,module_utils,netapp.py
lib/ansible/module_utils/netapp_elementsw_module.py,netapp.elementsw,netapp,elementsw,community,community,scenarios/nwo/netapp.yml,module_utils,netapp_elementsw_module.py
lib/ansible/module_utils/netapp_module.py,netapp.aws,netapp,aws,community,community,scenarios/nwo/netapp.yml,module_utils,netapp_module.py
lib/ansible/module_utils/network/a10/a10.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/network/aci/aci.py,cisco.aci,cisco,aci,community,community,scenarios/nwo/cisco.yml,module_utils,network/aci/aci.py
lib/ansible/module_utils/network/aci/mso.py,cisco.mso,cisco,mso,community,community,scenarios/nwo/cisco.yml,module_utils,network/aci/mso.py
lib/ansible/module_utils/network/aireos/aireos.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
